Date,vfinx,veurx,veiex,vbltx,vbisx,vpacx,UI_pct_chg,CRU_oil_chg,EUI_pct_chg,EURUSD_chg,GBPUSD_chg,ADVER_chg,Nasdaq_chg,USD/JYP_chg
6/30/14,-0.00033168,0.000932791,0.001832161,0.005611372,0.000950601,0.001689192,-0.0035,-0.0035,0.0022,0.0032,0.0042,0.0011,0.0023,-0.0005
7/1/14,0.0068573,0.008077117,0.004754915,-0.006607954,-0.000949601,0.010117975,0.0004,-0.0003,-0.0007,-0.0009,0.0026,-0.0015,0.0115,0.002
7/2/14,0.000713958,0.000308109,0.005824513,-0.008130005,-0.000950601,0.001669539,0.0018,-0.0082,-0.0009,-0.0014,0.0009,0.0053,0.0013,0.0026
7/3/14,0.005488471,0.006161432,0.005067022,-0.002235477,-0.000951505,-0.000833378,0.0038,-0.004,-0.0015,-0.0036,-0.0007,0,0.0067,0.0039
7/7/14,-0.003930134,-0.011941178,0.001440341,0.004480892,0,-0.004170193,-0.0001,-0.0022,0.0006,0.0007,-0.0019,-0.0034,-0.0025,-0.0027
7/8/14,-0.006740442,-0.012705309,-0.000359558,0.008178522,0.000952411,-0.002512524,-0.0006,-0.0013,0.0004,0.0006,0.0002,-0.0121,-0.0105,-0.0026
7/9/14,0.004689685,0.0031387,0.000359687,0.000737413,0,0.000839676,-0.0022,-0.0107,0.0015,0.0024,0.0016,0.0023,0.0058,0.0006
7/10/14,-0.004118612,-0.012828547,0,0,0.000951505,-0.009228161,0.0016,0.0063,-0.0027,-0.0026,-0.0015,-0.0078,-0.003,-0.003
7/11/14,0.00154397,0.001901817,-0.00143827,0.003684585,0,0.001693395,0.0007,-0.0204,0.0002,-0.0001,-0.0004,0.004,0.0061,0.0005
7/14/14,0.004844958,0.006959772,0.006481818,-0.002936816,0,0.006762481,0,0.0008,0.0018,0.0008,-0.0023,0.0105,0.0056,0.0017
7/15/14,-0.001917658,-0.006283383,0.001788897,-0.001472733,-0.000950601,0,0.0027,-0.0094,-0.0032,-0.0035,0.0034,-0.0038,-0.0017,0.0014
7/16/14,0.00433681,0.010117027,0.002142821,0.003687223,0,0.003358529,0.0021,0.0124,-0.0033,-0.0035,-0.0003,0.0063,0.0026,-0.0001
7/17/14,-0.011751812,-0.013458553,-0.013185975,0.008817079,0.000951505,-0.006694573,-0.0006,0.0197,-0.0003,0.0001,-0.0022,-0.0025,-0.0119,-0.005
7/18/14,0.010232253,0.005393416,0.011917628,-0.002913365,-0.000950601,0.008424616,0.0002,-0.0006,0.0002,-0.0002,-0.0008,0.0032,0.014,0.0016
7/21/14,-0.002299468,-0.00599561,-0.001427565,0.002921878,0,-0.002506314,0.0005,0.0142,-0.0002,-0.0001,-0.0008,-0.0049,-0.0011,0.0007
7/22/14,0.005048555,0.006984109,0.011079398,0.002185004,0.000951505,0.005025222,0.0029,-0.0016,-0.0039,-0.0043,-0.0006,-0.0159,0.0063,0.0007
7/23/14,0.001747242,0.000945796,0.002827843,-0.000726773,0,0.003333339,0.0007,-0.0124,0.0001,0,-0.0012,-0.0027,0.0063,0.0001
7/24/14,0.000490524,0.004724411,0.003172293,-0.005090876,-0.000950601,-0.004152875,0.0005,-0.0102,0.0007,-0.0001,-0.0034,0.0004,-0.0009,0.0033
7/25/14,-0.004848547,-0.008150479,-0.00421641,0.008040939,0,0.00166806,0.002,0.0002,-0.0021,-0.0024,-0.0007,0.0008,-0.0041,0.0003
7/28/14,0.000273731,-0.001896308,0.00211715,-0.001450306,0,0.006661128,0,-0.0041,0.0011,0.0006,0.0006,-0.0014,0.0011,0.0002
7/29/14,-0.004487782,-0.00253327,-0.004929568,0.002904902,0,-0.000827174,0.0023,-0.0069,-0.001,-0.0022,-0.0023,-0.0014,-0.002,0.0027
7/30/14,0.000219947,-0.002857137,-0.001061609,-0.011585875,-0.000951505,0.003311265,0.0026,-0.0069,0.0006,-0.001,-0.0018,-0.0108,0.0041,0.0066
7/31/14,-0.019896641,-0.017191943,-0.017357406,0.001249738,0.000953289,-0.014851513,0,-0.0209,-0.0001,-0.0006,-0.0017,-0.0194,-0.0211,0
8/1/14,-0.002860082,-0.007774602,-0.000360503,0.004405312,0.00190486,-0.001674958,-0.0017,-0.003,0.0027,0.0031,-0.0038,0.0032,-0.003,-0.0017
8/4/14,0.00714248,0.002611806,0.012982374,-0.002923968,0,0.005033479,0.0004,0.0042,-0.0005,-0.0007,0.0025,0.0119,0.0061,-0.0004
8/5/14,-0.009604651,-0.008140674,-0.012459981,0.002199387,0,-0.014190214,0.0025,-0.0093,-0.0033,-0.0034,0.0014,-0.0037,-0.0064,0
